RowKey,Artikel,Link,Amazon,A+,Kontrolle,K von,Fehler1,Begründung,Infobox,Priorität,BE bis,BE am,BE von,K ab,K am,K2 von,Kommentar,OPEN C. bis,C am,Case Nr.,C von,Check C,Reopen C2 am,Reopen C2 von,Check Reopen C,Sonstige Anmerkungen
Amazon Cases (NA):7037475763654532,NA-FC1,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1407976229441412,NA-FC1,https://www.amazon.ca/dp/B072M2HKSN,ca,Green,,EK,Ja,Box,"Item Size, Battery, Memory Type, Hard drive interface, Power Source, Operating System",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):5911575856811908,NA-FC1,https://www.amazon.com/gp/product/B072M2HKSN,com,Green,,EK,Ja,Box,"Item Size, Battery",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):3659776043126660,NA-FC1,https://www.amazon.co.jp/dp/B072M2HKSN,jp,Yellow,,DM,Ja,"T, BP, PD, Box",Material,5,,,HI,,,DM,"T, BP, PD, Box",,,,,,,,,
Amazon Cases (NA):8163375670497156,NA-FC1,https://www.amazon.com.be/dp/B072M2HKSN,be,Green,,EK,Ja,"Box, Kom.","Item Size, Battery",4,,,,,,,,,,,,,,,,form factor// 05.06.25 // EK
Amazon Cases (NA):845026276020100,NA-FC1,https://www.amazon.co.uk/dp/B072M2HKSN,co.uk,Green,,EK,Ja,Box,"Item Size, Material, Power Source",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):5348625903390596,NA-FC1,https://www.amazon.de/dp/B072M2HKSN,de,Green,,EK,Ja,Box,"Item Size, Wattage, Battery, Memory Type, Hard drive interface, Hard drive size, Lithium Battery Ion Cells",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):3096826089705348,NA-FC1,https://www.amazon.es/dp/B072M2HKSN,es,Green,,EK,Ja,Box,"Item Size, Wattage, Memory Type, Hard drive interface, Hard drive size, Lithium Battery Ion Cells",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):7600425717075844,NA-FC1,https://www.amazon.com.au/gp/product/B072M2HKSN,au,Green,,SM,Ja,Box,Battery,4,,,DM,,,DM,Box,,,,,,,,,
Amazon Cases (NA):1970926182862724,NA-FC1,https://www.amazon.com.mx/gp/product/B072M2HKSN,com.mx,Green,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6474525810233220,NA-FC1,https://www.amazon.fr/gp/product/B072M2HKSN,fr,Green,,EK,Ja,"Box, Kom.","Hard drive interface, Hard drive size, Power Source",4,,,,,,,,,,,,,,,,manufacturer warranty//24.02.25//HI
Amazon Cases (NA):4222725996547972,NA-FC1,https://www.amazon.it/dp/B072M2HKSN,it,Green,,HI,Ja,Box,"Battery, Memory Type, Lithium Battery Weight, Lithium Battery Voltage, Lithium Battery Ion Cells",3,,,,,,,,,,,,,,,,
Amazon Cases (NA):8726325623918468,NA-FC1,https://www.amazon.nl/gp/product/B072M2HKSN,nl,Green,,HI,Ja,Box,"Battery, Memory Type, Lithium Battery Weight, Lithium Battery Voltage, Lithium Battery Ion Cells",3,,,,,,,,,,,,,,,,
Amazon Cases (NA):141338834243460,NA-FC1,https://www.amazon.sg/gp/product/B072M2HKSN,sg,Green,,EK,Ja,Box,"Item Size, Battery",4,,,,,,,,,,,,,,,,
