Produktgruppe,RowID,Kontrolle,K von,BE am,BE von,K am,K2 von,C am,C von,Reopen C2 am,Reopen C2 von
NA,7037475763654532,,,,,,,,,,
NA,1407976229441412,,EK,,,,,,,,
NA,5911575856811908,,EK,,,,,,,,
NA,3659776043126660,,DM,,HI,,DM,,,,
NA,8163375670497156,,EK,,,,,,,,
NA,845026276020100,,EK,,,,,,,,
NA,5348625903390596,,EK,,,,,,,,
NA,3096826089705348,,EK,,,,,,,,
NA,7600425717075844,,SM,,DM,,DM,,,,
NA,1970926182862724,,EK,,,,,,,,
NA,6474525810233220,,EK,,,,,,,,
NA,4222725996547972,,HI,,,,,,,,
NA,8726325623918468,,HI,,,,,,,,
NA,141338834243460,,EK,,,,,,,,
NA,4644938461613956,,DM,,DM,,DM,,,,
NA,2393138647928708,,EK,,,,,,,,
NA,6896738275299204,,JHU,,DM,,DM,,,,
NA,1267238741086084,,JHU,,,,,,,,
NA,5770838368456580,,,,,,,,,,
NA,3519038554771332,,EK,,,,,,,,
NA,8022638182141828,,DM,,,,,,,,
NA,704288787664772,,LK,,,,,,,,
NA,5207888415035268,,DM,,HI,,DM,,,,
NA,2956088601350020,,SM,,LK,,EK,,,,
NA,7459688228720516,,EK,,LK,,EK,,,,
NA,1830188694507396,,EK,,LK,,EK,,,,
NA,6333788321877892,,EK,,LK,,DM,,,,
NA,4081988508192644,,LK,,,,,,,,
NA,8585588135563140,,EK,,LK,,EK,,,,
NA,422813810954116,,DM,,,,,,,,
NA,4926413438324612,,LK,,,,,,,,
NA,2674613624639364,,HI,,,,,,,,
NA,7178213252009860,,HI,,,,,,,,
NA,1548713717796740,,EK,,,,,,,,
NA,6052313345167236,,HI,,,,,,,,
NA,3800513531481988,,JHU,,,,,,,,
NA,8304113158852484,,,,,,,,,,
NA,985763764375428,,DM,,SM,,,,,,
NA,5489363391745924,,SM,,,,,,,,
NA,3237563578060676,,SM,,,,,,,,
NA,7741163205431172,,DM,,,,,,,,
NA,2111663671218052,,DM,,,,,,,,
NA,6615263298588548,,DM,,,,,,,,
NA,4363463484903300,,DM,,,,,,,,
NA,8867063112273796,,DM,,,,,,,,
NA,70970090065796,,HI,,,,,,,,
NA,4574569717436292,,DM,,,,,,,,
NA,2322769903751044,,DM,,,,,,,,
NA,6826369531121540,,SM,,,,,,,,
NA,1196869996908420,,DM,,,,,,,,
NA,5700469624278916,,EK,,LK,,,,,,
NA,3448669810593668,,JHU,,,,,,,,
NA,7952269437964164,,DM,,,,,,,,
NA,633920043487108,,JHU,,,,,,,,
NA,5137519670857604,,,,,,,,,,
NA,2885719857172356,,EK,,LK,,,,,,
NA,7389319484542852,,JHU,,HI,,LK,,,,
NA,1759819950329732,,SM,,SM,,EK,,,,
NA,6263419577700228,,EK,,LK,,EK,,,,
NA,4011619764014980,,EK,,LK,,,,,,
NA,8515219391385476,,EK,,LK,,,,,,
NA,352445066776452,,LK,,LK,,EK,,,,
NA,4856044694146948,,EK,,,,,,,,
NA,2604244880461700,,DM,,,,,,,,
NA,7107844507832196,,DM,,,,,,,,
NA,1478344973619076,,DM,,,,,,,,
NA,5981944600989572,,SM,,,,,,,,
NA,3730144787304324,,DM,,,,,,,,
NA,8233744414674820,,EK,,LK,,,,,,
NA,915395020197764,,DM,,,,,,,,
NA,5418994647568260,,LK,,,,,,,,
NA,3167194833883012,,JHU,,,,,,,,
NA,7670794461253508,,,,,,,,,,
NA,2041294927040388,,HI,,,,,,,,
NA,6544894554410884,,SM,,,,,,,,
NA,4293094740725636,,DM,,,,,,,,
NA,8796694368096132,,EK,,LK,,,,,,
NA,211707578421124,,LK,,,,,,,,
NA,4715307205791620,,SM,,,,,,,,
NA,2463507392106372,,DM,,,,,,,,
NA,6967107019476868,,DM,,,,,,,,
NA,1337607485263748,,DM,,,,,,,,
NA,5841207112634244,,SM,,,,,,,,
NA,3589407298948996,,JHU,,HI,,LK,,,,
NA,8093006926319492,,SM,,,,,,,,
NA,774657531842436,,DM,,,,,,,,
NA,5278257159212932,,DM,,,,,,,,
NA,3026457345527684,,LK,,,,,,,,
NA,7530056972898180,,DM,,,,,,,,
NA,1900557438685060,,JHU,,,,,,,,
NA,6404157066055556,,,,,,,,,,
NA,4152357252370308,,DM,,LK,,,,,,
NA,8655956879740804,,LK,,HI,,DM,,,,
NA,493182555131780,,SM,,,,,,,,
NA,4996782182502276,,DM,,,,,,,,
NA,2744982368817028,,SM,,DM,,DM,,,,
NA,7248581996187524,,DM,,,,,,,,
NA,1619082461974404,,DM,,,,,,,,
NA,6122682089344900,,DM,,,,,,,,
NA,3870882275659652,,EK,,LK,,,,,,
NA,8374481903030148,,EK,,,,,,,,
NA,1056132508553092,,DM,,,,,,,,
NA,5559732135923588,,DM,,,,,,,,
NA,3307932322238340,,DM,,,,,,,,
NA,7811531949608836,,EK,,,,,,,,
NA,2182032415395716,,HI,,,,,,,,
NA,6685632042766212,,DM,,,,,,,,
NA,4433832229080964,,JHU,,,,,,,,
NA,8937431856451460,,,,,,,,,,
NA,35785717976964,,EK,,LK,,EK,,,,
NA,4539385345347460,,EK,,LK,,,,,,
NA,2287585531662212,,LK,,LK,,,,,,
NA,6791185159032708,,SM,,,,,,,,
NA,1161685624819588,,EK,,LK,,,,,,
NA,5665285252190084,,EK,,LK,,,,,,
NA,3413485438504836,,LK,,LK,,LK,,,,
NA,7917085065875332,,EK,,LK,,,,,,
NA,598735671398276,,SM,,,,,,,,
NA,5102335298768772,,DM,,LK,,,,,,
NA,2850535485083524,,DM,,LK,,,,,,
NA,7354135112454020,,SM,,,,,,,,
NA,1724635578240900,,DM,,,,,,,,
NA,6228235205611396,,JHU,,LK,,EK,,,,
NA,3976435391926148,,DM,,,,,,,,
NA,8480035019296644,,JHU,,LK,,EK,,,,
NA,317260694687620,,JHU,,,,,,,,
NA,4820860322058116,,,,,,,,,,
NA,2569060508372868,,SM,,,,,,,,
NA,7072660135743364,,DM,,LK,,,,,,
NA,1443160601530244,,EK,,SM,,,,,,
NA,5946760228900740,,DM,,,,,,,,
NA,3694960415215492,,DM,,,,,,,,
NA,8198560042585988,,LK,,,,,,,,
NA,880210648108932,,HI,,DM,,DM,,,,
NA,5383810275479428,,EK,,,,,,,,
NA,3132010461794180,,EK,,LK,,,,,,
NA,7635610089164676,,EK,,LK,,,,,,
NA,2006110554951556,,HI,,,,,,,,
NA,6509710182322052,,LK,,,,,,,,
NA,4257910368636804,,EK,,,,,,,,
NA,8761509996007300,,EK,,,,,,,,
NA,176523206332292,,SM,,,,,,,,
NA,4680122833702788,,EK,,LK,,,,,,
NA,2428323020017540,,JHU,,,,,,,,
NA,6931922647388036,,,,,,,,,,
NA,1302423113174916,,EK,,LK,,,,,,
NA,5806022740545412,,HI,,LK,,,,,,
NA,3554222926860164,,EK,,,,,,,,
NA,8057822554230660,,SM,,,,,,,,
NA,739473159753604,,SM,,LK,,EK,,,,
NA,5243072787124100,,SM,,LK,,EK,,,,
NA,2991272973438852,,EK,,LK,,,,,,
NA,7494872600809348,,LK,,,,,,,,
NA,1865373066596228,,DM,,LK,,,,,,
NA,6368972693966724,,DM,,,,,,,,
NA,4117172880281476,,EK,,LK,,EK,,,,
NA,8620772507651972,,EK,,LK,,EK,,,,
NA,457998183042948,,SM,,,,,,,,
NA,4961597810413444,,SM,,LK,,EK,,,,
