Erzeugt am,Produktgruppe,Phase,Datumsfeld,Datum,Mitarbeiter
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-25,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-26,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-26,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-26,LK
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-25,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-26,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,2,BE am,2025-09-26,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-24,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-23,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-25,LK
2025-09-29 01:52:46,NA,3,K am,2025-09-25,LK
2025-09-29 01:52:46,NA,2,BE am,2025-09-22,SM
2025-09-29 01:52:46,NA,3,K am,2025-09-26,EK
2025-09-29 01:52:46,NA,1,Kontrolle,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
2025-09-29 01:52:46,NA,3,K am,2025-09-22,EK
